Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Year to be a unicorn,Return on investment
Bytedance,180,07/04/2017,Artificial Intelligence,Beijing,China,Asia,2012,8,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",5,23
SpaceX,100,01/12/2012,Other,Hawthorne,United States,North America,2002,7,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",10,14
SHEIN,100,03/07/2018,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,2,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",10,50
Stripe,95,23/01/2014,Fintech,San Francisco,United States,North America,2010,2,"Khosla Ventures, LowercaseCapital, capitalG",4,48
Klarna,46,12/12/2011,Fintech,Stockholm,Sweden,Europe,2005,4,"Institutional Venture Partners, Sequoia Capital, General Atlantic",6,12
Canva,40,08/01/2018,Internet software & services,Surry Hills,Australia,Oceania,2012,1,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",6,40
Checkout.com,40,02/05/2019,Fintech,London,United Kingdom,Europe,2012,2,"Tiger Global Management, Insight Partners, DST Global",7,20
Instacart,39,30/12/2014,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,3,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",2,13
JUUL Labs,38,20/12/2017,Consumer & retail,San Francisco,United States,North America,2015,14,Tiger Global Management,2,3
Databricks,38,05/02/2019,Data management & analytics,San Francisco,United States,North America,2013,3,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",6,13
Revolut,33,26/04/2018,Fintech,London,United Kingdom,Europe,2015,3,"index Ventures, DST Global, Ribbit Capital",3,11
Epic Games,32,26/10/2018,Other,Cary,United States,North America,1991,7,"Tencent Holdings, KKR, Smash Ventures",27,5
FTX,32,20/07/2021,Fintech,,Bahamas,North America,2018,2,"Sequoia Capital, Thoma Bravo, Softbank",3,16
Fanatics,27,06/06/2012,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,4,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",10,7
Chime,25,05/03/2019,Fintech,San Francisco,United States,North America,2013,2,"Forerunner Ventures, Crosslink Capital, Homebrew",6,13
BYJU's,22,25/07/2017,Edtech,Bengaluru,India,Asia,2008,4,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",9,6
J&T Express,20,07/04/2021,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,5,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",6,4
Xiaohongshu,20,31/03/2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,1,"GGV Capital, ZhenFund, Tencent",3,20
Miro,18,05/01/2022,Internet software & services,San Francisco,United States,North America,2011,1,"Accel, AltaIR Capital, Technology Crossover Ventures",11,18
Yuanfudao,17,31/05/2017,Edtech,Beijing,China,Asia,2012,4,"Tencent Holdings, Warbug Pincus, IDG Capital",5,4
Rapyd,15,03/12/2019,Fintech,London,United Kingdom,Europe,2016,1,"Target Global, General Catalyst, Durable Capital Partners",3,15
Discord,15,20/04/2018,Internet software & services,San Francisco,United States,North America,2012,1,"Benchmark, Greylock Partners, Tencent Holdings",6,15
Genki Forest,15,01/03/2020,Consumer & retail,Beijing,China,Asia,2016,1,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",4,15
goPuff,15,08/10/2020,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,3,"Accel, Softbank Group, Anthos Capital",7,5
Blockchain.com,14,17/02/2021,Fintech,London,United Kingdom,Europe,2011,1,"Lightspeed Venture Partners, Google Ventures, Lakestar",10,14
Plaid,13,11/12/2018,Fintech,San Francisco,United States,North America,2012,1,"New Enterprise Associates, Spar Capital, Index Ventures",6,13
Devoted Health,13,16/10/2018,Health,Waltham,United States,North America,2017,2,"Andreessen Horowitz, F-Prime Capital, Venrock",1,7
OpenSea,13,20/07/2021,E-commerce & direct-to-consumer,New York,United States,North America,2017,0,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",4,0
Grammarly,13,10/10/2019,Internet software & services,San Francisco,United States,North America,2009,0,"General Catalyst, Institutional Venture Partners, Breyer Capital",10,0
Argo AI,12,12/07/2019,Artificial Intelligence,Pittsburgh,United States,North America,2016,4,"Volkswagen Group, Ford Autonomous Vehicles",3,3
Northvolt,12,12/06/2019,Other,Stockholm,Sweden,Europe,2016,4,"Vattenfall, Volkswagen Group, Goldman Sachs",3,3
Faire,12,30/10/2019,Artificial Intelligence,San Francisco,United States,North America,2017,1,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",2,12
Airtable,12,15/11/2018,Internet software & services,San Francisco,United States,North America,2013,1,"Caffeinated Capital, CRV, Founder Collective",5,12
Brex,12,05/10/2018,Fintech,San Francisco,United States,North America,2017,1,"DST Global, Ribbit Capital, Greenoaks Capital Management",1,12
Getir,12,26/03/2021,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2015,2,"Tiger Global Management, Sequoia Capital, Revo Capital",6,6
Biosplice Therapeutics,12,06/08/2018,Health,San Diego,United States,North America,2008,1,"Vickers Venture Partners, IKEA GreenTech",10,12
Bitmain,12,06/07/2018,Hardware,Beijing,China,Asia,2015,1,"Coatue Management, Sequoia Capital China, IDG Capital",3,12
GoodLeap,12,13/10/2021,Internet software & services,Roseville,United States,North America,2003,1,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",18,12
Xingsheng Selected,12,22/07/2020,E-commerce & direct-to-consumer,Changsha,China,Asia,2009,5,"KKR, Tencent Holdings, Sequoia Capital China",11,2
ZongMu Technology,11,03/06/2021,Auto & transportation,Shanghai,China,Asia,2013,0,"LTW Capital, Legend Capital, Qualcomm Ventures",8,0
Bolt,11,29/05/2018,Auto & transportation,Tallinn,Estonia,Europe,2013,1,"Didi Chuxing, Diamler, TMT Investments",5,11
Swiggy,11,21/06/2018,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2014,5,"Accel India, SAIF Partners, Norwest Venture Partners",4,2
Weilong Foods,11,08/05/2021,Consumer & retail,Luohe,China,Asia,1999,1,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital",22,11
Global Switch,11,22/12/2016,Hardware,London,United Kingdom,Europe,1998,5,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",18,2
Bolt,11,08/10/2021,Fintech,San Francisco,United States,North America,2014,1,"Activant Capital, Tribe Capital, General Atlantic",7,11
Celonis,11,26/06/2018,Data management & analytics,Munich,Germany,Europe,2011,1,"Accel, 83North",7,11
Zuoyebang,10,18/07/2018,Edtech,Beijing,China,Asia,2014,3,"Sequoia Capital China, Xiang He Capital, GGV Capital",4,3
Ripple,10,20/12/2019,Fintech,San Francisco,United States,North America,2012,0,"IDG Capital, Venture51, Lightspeed Venture Partners",7,0
OYO Rooms,10,25/09/2018,Travel,Gurugram,India,Asia,2012,3,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",6,3
OutSystems,10,05/06/2018,Internet software & services,Boston,United States,North America,2001,1,"KKR, ES Ventures, North Bridge Growth Equity",17,10
ServiceTitan,10,14/11/2018,Internet software & services,Glendale,United States,North America,2012,1,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",6,10
Alchemy,10,28/10/2021,Fintech,San Francisco,United States,North America,2017,1,"DFJ Growth Fund, Coatue Management, Addition",4,10
Chehaoduo,10,12/03/2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,4,"Sequoia Capital China, GX Capital",1,3
Digital Currency Group,10,01/11/2021,Fintech,New York,United States,North America,2015,1,"Ribbit Capital, capitalG, Softbank Group",6,10
Figma,10,30/04/2020,Internet software & services,San Francisco,United States,North America,2012,0,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",8,0
Gusto,10,18/12/2015,Fintech,San Francisco,United States,North America,2011,1,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",4,10
Lalamove,10,21/02/2019,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2013,2,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",6,5
Notion Labs,10,01/04/2020,Internet software & services,San Francisco,United States,North America,2016,0,"Index Ventures, Draft Ventures, Felicis Ventures",4,0
reddit,10,31/07/2017,Internet software & services,San Francisco,United States,North America,2005,1,"Y Combinator, Sequoia Capital, Coatue Management",12,10
Talkdesk,10,03/10/2018,Internet software & services,San Francisco,United States,North America,2011,1,"DJF, Salesforce Ventures, Storm Ventures",7,10
Thrasio,10,15/07/2020,Other,Walpole,United States,North America,2018,2,"Upper90, RiverPark Ventures, Advent International",2,5
Dunamu,9,22/07/2021,Fintech,Seoul,South Korea,Asia,2012,0,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities",9,0
Yanolja,9,10/06/2019,Travel,Seoul,South Korea,Asia,2005,2,"SBI Investment Korea, Partners Investment, GIC",14,5
Pony.ai,9,11/07/2018,Artificial Intelligence,Fremont,United States,North America,2016,1,"Sequoia Capital China, IDG Capital, DCM Ventures",2,9
Nuro,9,11/02/2019,Auto & transportation,Mountain View,United States,North America,2016,2,"SoftBank Group, Greylock Partners, Gaorong Capital",3,5
Snyk,9,21/01/2020,Cybersecurity,Boston,United States,North America,2015,1,"BOLDstart Ventures, Google Ventures, Accel",5,9
Kavak,9,01/10/2020,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2016,2,"DST Global, SoftBank Group, Mountain Nazca",4,5
N26,9,10/01/2019,Fintech,Berlin,Germany,Europe,2013,2,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",6,5
Klaviyo,9,17/11/2020,Internet software & services,Boston,United States,North America,2012,1,"Summit Partners, Accel, Astral Capital",8,9
Niantic,9,24/11/2017,Mobile & telecommunications,San Francisco,United States,North America,2015,1,"Nintendo, Google, Pokemon Company International, Spark Capital",2,9
Tanium,9,31/03/2015,Cybersecurity,Kirkland,United States,North America,2007,1,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",8,9
Dream11,8,09/04/2019,Internet software & services,Mumbai,India,Asia,2007,2,"Kaalari Capital, Tencent Holdings, Steadview Capital",12,4
DJI Innovations,8,23/01/2015,Hardware,Shenzhen,China,Asia,2006,0,"Accel Partners, Sequoia Capital",9,0
Netskope,8,13/11/2018,Cybersecurity,Santa Clara,United States,North America,2012,1,"Lightspeed Venture Partners, Social Capital, Accel",6,8
